audio	sentence	gender	duration	path
37_11610_2_371_01_211114-081856_bem_5bb_elicit_1.wav	kabili bonse nabafwala na insapato shamawilo 	male	3.811	/home/csikasote/Documents/bigcgen/audio/37_11610_2_371_01_211114-081856_bem_5bb_elicit_1.wav
18_8090_1_182_02_211109-110831_bem_433_elicit_0.wav	abantu abengi nabekala mubwato nabekala balemoneka kwati baliile kumo nomba babwela 	male	8.847999999999999	/home/csikasote/Documents/bigcgen/audio/18_8090_1_182_02_211109-110831_bem_433_elicit_0.wav
12-201008-130449_bem_526_elicit_32.wav	twayamba no kutikulula motoka	Male	4.129125	/home/csikasote/Documents/bemgen/audio/12-201008-130449_bem_526_elicit_32.wav
16_6356_2_161_01_220111-125638_bem_5da_elicit_1.wav	emukwai namayo uyu euletungulula ibumba lya bantu mucikulwa ici 	male	5.399	/home/csikasote/Documents/bigcgen/audio/16_6356_2_161_01_220111-125638_bem_5da_elicit_1.wav
12_6691_2_121_01_211106-090341_bem_9ed_elicit_1.wav	imbwa na kabalwe natulamba saana mumatipa 	male	4.763999999999999	/home/csikasote/Documents/bigcgen/audio/12_6691_2_121_01_211106-090341_bem_9ed_elicit_1.wav
05-200916-201336_bem_a40_elicit_14.wav	umupini ukulangile umwanakashi libwelelo	Male	3.993	/home/csikasote/Documents/bemgen/audio/05-200916-201336_bem_a40_elicit_14.wav
01-201011-231356_bem_fb0_elicit_5.wav	cilya ae ku mushi baifumya na mu fipapa yalabeka ye	Male	7.1919375	/home/csikasote/Documents/bemgen/audio/01-201011-231356_bem_fb0_elicit_5.wav
01-200917-231428_bem_d31_elicit_48.wav	ine ndemubatisha ku menshi leo wene akamubatisha ku mupashi wa mushilo	Male	5.082	/home/csikasote/Documents/bemgen/audio/01-200917-231428_bem_d31_elicit_48.wav
01-180102-181703_bem_d31_elicit_16.wav	teapopeka ukumona ukuti ifipatala fili ifyafikapo mukutangata abantu	Male	6.08025	/home/csikasote/Documents/bemgen/audio/01-180102-181703_bem_d31_elicit_16.wav
01-200918-120021_bem_d31_elicit_35.wav	natusambilile ca pamo ifyo twingacita bwino	Male	2.6544375	/home/csikasote/Documents/bemgen/audio/01-200918-120021_bem_d31_elicit_35.wav
